year,representative_rank,district,state,representative_score,gerrymander_index,shape_irregularity,packing_signal,quota_deviation_pct,tpp_alp_pct,tpp_margin_pct,tpp_swing,enrolment,turnout,turnout_pct,booth_tpp_stddev,booth_tpp_range,booth_count,mapped_booth_count,effective_parties,top_primary_party,top_primary_pct,primary_gap_pct,vote_type_skew,polsby_popper,reock,convex_hull_ratio,components,area_sqkm,perimeter_km,num_ccds
2019,58,Brisbane,QLD,59.5,40.5,36.8,17.0,6.25,45.08,9.84,-1.08,115557,104588,90.51,8.21,39.45,46,43,3.091,LNP,46.64,22.76,7.41,0.3771,0.4953,0.7501,1,57.581,43.805,364
2019,59,McPherson,QLD,59.3,40.7,57.4,3.9,0.46,37.8,24.4,0.56,109261,98771,90.4,4.96,28.45,43,40,3.696,LNP,45.19,23.79,9.66,0.3122,0.3725,0.6545,1,229.761,96.161,346
2019,60,Banks,NSW,59.1,40.9,39.7,6.7,5.68,43.74,12.52,4.82,106253,98845,93.03,5.7,66.67,49,48,2.885,LP,47.25,13.52,8.43,0.4133,0.3075,0.8336,1,53.007,40.146,370
2019,61,Blaxland,NSW,58.9,41.1,25.1,41.1,6.45,64.72,29.44,4.76,105383,93209,88.45,7.05,80.11,48,46,2.978,ALP,50.09,25.1,9.56,0.5072,0.4132,0.8681,1,61.071,38.9,406
2019,62,Lindsay,NSW,58.8,41.2,38.7,18.9,5.4,44.96,10.08,6.15,118734,109538,92.25,8.18,49.37,51,50,3.478,LP,41.31,9.64,6.13,0.3599,0.4517,0.7767,1,339.038,108.798,374
2019,63,Solomon,NT,58.4,41.6,67.3,3.7,0.49,53.08,6.16,3.01,69336,57602,83.08,6.11,68.24,31,29,3.365,ALP,38.29,1.9,7.5,0.1691,0.389,0.672,1,191.37,119.253,223
2019,64,McMahon,NSW,58.3,41.7,35.8,32.6,5.23,56.64,13.28,5.47,106754,97124,90.98,10.06,46.59,45,43,3.653,ALP,40.52,11.23,10.73,0.3407,0.4145,0.8327,1,168.418,78.815,390
2019,65,Fraser,VIC,58.1,41.9,48.3,35.7,0.64,64.18,28.36,5.61,109408,98605,90.13,6.86,75.26,42,39,3.314,ALP,47.37,23.1,3.45,0.2887,0.3582,0.7958,1,106.156,67.975,423
2019,66,Melbourne,VIC,57.4,42.6,36.8,44.5,2.3,67.06,34.12,-0.06,107572,95960,89.21,7.04,91.67,48,43,3.199,GRN,47.81,26.99,8.8,0.3812,0.4279,0.7981,1,40.466,36.526,341
2019,67,Werriwa,NSW,57.3,42.7,41.1,23.2,4.48,55.47,10.94,2.73,117693,106553,90.53,8.79,49.87,57,56,3.388,ALP,42.23,11.04,8.46,0.3978,0.3933,0.7782,1,171.619,73.627,368
2019,68,Calwell,VIC,57.1,42.9,35.0,54.1,2.36,68.8,37.6,0.93,107507,96336,89.61,7.36,44.8,37,35,3.252,ALP,48.91,26.09,6.41,0.2717,0.486,0.8253,1,265.332,110.78,319
2019,69,Cook,NSW,56.9,43.1,35.3,14.3,5.05,30.98,38.04,3.63,106957,100164,93.65,5.43,49.44,50,48,2.417,LP,59.8,38.11,8.11,0.3893,0.5284,0.7425,1,93.823,55.034,357
2019,70,Oxley,QLD,56.8,43.2,41.0,30.0,4.18,56.39,12.78,2.62,104214,95039,91.2,10.25,78.86,45,43,3.43,ALP,40.51,7.59,12.55,0.2983,0.5335,0.74,1,158.88,81.809,376
2019,71,Fadden,QLD,56.7,43.3,31.5,47.2,4.87,35.82,28.36,2.94,114061,102231,89.63,7.57,51.77,40,38,3.556,LNP,46.33,24.92,9.4,0.3882,0.4665,0.8057,1,433.116,118.401,327
2019,72,Perth,WA,56.5,43.5,60.8,9.7,1.32,54.93,9.86,-1.6,101535,91926,90.54,6.61,69.07,51,45,3.682,LP,35.68,2.82,8.31,0.2657,0.3699,0.6761,1,80.396,61.663,330
2019,73,Corio,VIC,56.4,43.6,55.8,31.5,0.18,60.32,20.64,-2.12,110304,102400,92.83,7.27,34.9,39,35,2.965,ALP,45.91,13.27,7.4,0.2153,0.4386,0.7427,1,772.723,212.361,370
2019,74,Casey,VIC,54.4,45.6,53.7,18.2,2.91,45.36,9.28,0.1,113307,106720,94.19,9.52,70.7,64,63,3.721,LP,42.32,15.57,7.59,0.2342,0.365,0.789,1,2465.644,363.715,434
2019,75,Bendigo,VIC,54.1,45.9,48.8,28.6,2.4,59.04,18.08,-5.17,112755,105979,93.99,7.3,82.86,65,61,3.494,ALP,41.84,11.45,4.85,0.2212,0.4847,0.7565,1,5494.681,558.724,360
2019,76,Bradfield,NSW,54.0,46.0,36.3,30.9,4.74,33.44,33.12,-4.48,107304,100199,93.38,6.34,50.75,54,51,2.522,LP,57.89,37.57,8.58,0.3685,0.4602,0.7835,1,101.38,58.8,357
2019,77,Indi,VIC,53.8,46.2,50.2,13.0,2.42,37.27,25.46,7.72,112775,105557,93.6,5.64,63.83,79,76,4.244,LP,33.56,2.62,8.77,0.191,0.4224,0.8001,1,29178.325,1385.402,410
2019,78,Sturt,SA,53.7,46.3,55.5,15.8,2.26,43.13,13.74,1.48,123818,115953,93.65,6.57,69.23,59,53,3.082,LP,47.86,19.6,9.63,0.2734,0.3983,0.697,1,97.672,67.0,405
2019,79,Eden-Monaro,NSW,53.6,46.4,70.4,1.5,1.33,50.85,1.7,2.08,114147,106505,93.31,6.54,74.62,86,81,3.704,ALP,36.5,2.01,9.65,0.1398,0.4354,0.7706,95,41617.239,1934.405,433
2019,80,Fisher,QLD,53.4,46.6,46.4,14.6,4.02,37.3,25.4,3.55,113134,104040,91.96,5.73,54.28,50,46,3.374,LNP,47.64,26.49,9.84,0.2508,0.462,0.7656,1,1223.8,247.622,341
2019,81,Cowan,WA,53.1,46.9,56.7,2.3,4.11,50.83,1.66,-0.15,98665,89703,90.92,8.22,69.52,41,40,3.506,LP,37.28,1.21,6.31,0.3283,0.344,0.6914,1,179.899,82.981,318
2019,82,Mallee,VIC,53.0,47.0,33.3,71.8,3.32,33.77,32.46,-3.57,113767,105619,92.84,8.81,75.0,100,94,6.154,NP,24.75,5.65,5.86,0.2153,0.5233,0.885,1,81953.464,2186.869,467
2019,83,Grey,SA,52.9,47.1,44.2,68.0,0.94,36.68,26.64,5.57,119949,111131,92.65,12.18,66.67,145,126,3.51,LP,47.14,25.9,10.13,0.2301,0.5756,0.8832,158,909651.199,7048.529,518
2019,84,Clark,TAS,52.2,47.8,33.5,62.5,4.3,66.17,32.34,-0.84,73846,69150,93.64,8.12,47.09,47,42,3.164,IND,48.82,29.1,10.06,0.265,0.4984,0.8362,1,291.769,117.627,279
2019,85,Parkes,NSW,51.6,48.4,33.2,86.9,2.78,33.09,33.82,1.81,109513,99799,91.13,14.26,72.52,101,90,3.375,NP,47.79,25.61,12.77,0.2781,0.4504,0.8737,1,393420.283,4216.139,481
2019,86,Cooper,VIC,51.3,48.7,55.0,27.4,0.66,76.32,52.64,-4.23,110836,102467,92.45,6.06,88.72,50,49,3.59,ALP,44.5,24.39,6.8,0.2431,0.4234,0.7235,1,60.56,55.953,347
2019,87,Macquarie,NSW,51.2,48.8,61.5,0.3,4.16,50.19,0.38,2.0,107962,101289,93.82,14.65,63.01,59,58,3.023,LP,42.93,6.3,8.45,0.1794,0.3554,0.7625,1,4374.007,553.525,374
2019,88,Wannon,VIC,51.2,48.8,43.8,37.6,4.05,39.62,20.76,1.23,114572,108050,94.31,7.77,57.87,99,92,3.095,LP,49.14,24.01,10.95,0.2607,0.5883,0.8309,22,33401.939,1268.78,465
2019,89,Groom,QLD,49.5,50.5,48.3,28.7,2.56,29.52,40.96,5.17,105978,98608,93.05,6.14,55.75,59,56,3.082,LNP,51.63,33.56,7.7,0.1927,0.49,0.7676,1,5594.443,604.07,379
