2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:45 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8309,Kings Meadows,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,86,4.48
TAS,192,Bass,8309,Kings Meadows,32399,COOPER,Carl,7,N,N,NP,The Nationals,23,1.2
TAS,192,Bass,8309,Kings Meadows,999,Informal,Informal,999,N,N,,Informal,124,1.31
TAS,192,Bass,8310,Lady Barron,32540,HALL,Tom,1,N,N,GRN,The Greens,10,0.7
TAS,192,Bass,8310,Lady Barron,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,51,11.55
TAS,192,Bass,8310,Lady Barron,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,1,0.87
TAS,192,Bass,8310,Lady Barron,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,46,-7.2
TAS,192,Bass,8310,Lady Barron,33590,LAMBERT,Todd,5,N,N,IND,Independent,3,2.61
TAS,192,Bass,8310,Lady Barron,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,3,2.61
TAS,192,Bass,8310,Lady Barron,32399,COOPER,Carl,7,N,N,NP,The Nationals,1,0.87
TAS,192,Bass,8310,Lady Barron,999,Informal,Informal,999,N,N,,Informal,9,-0.15
TAS,192,Bass,8311,Launceston,32540,HALL,Tom,1,N,N,GRN,The Greens,213,0.08
TAS,192,Bass,8311,Launceston,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,322,-3.78
TAS,192,Bass,8311,Launceston,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,27,2.8
TAS,192,Bass,8311,Launceston,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,345,2.8
TAS,192,Bass,8311,Launceston,33590,LAMBERT,Todd,5,N,N,IND,Independent,19,1.97
TAS,192,Bass,8311,Launceston,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,29,3.01
TAS,192,Bass,8311,Launceston,32399,COOPER,Carl,7,N,N,NP,The Nationals,8,0.83
TAS,192,Bass,8311,Launceston,999,Informal,Informal,999,N,N,,Informal,37,0.38
TAS,192,Bass,33906,Launceston BASS PPVC,32540,HALL,Tom,1,N,N,GRN,The Greens,1180,-1.08
TAS,192,Bass,33906,Launceston BASS PPVC,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,3433,-2.84
TAS,192,Bass,33906,Launceston BASS PPVC,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,258,2.38
TAS,192,Bass,33906,Launceston BASS PPVC,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,4947,-0.19
TAS,192,Bass,33906,Launceston BASS PPVC,33590,LAMBERT,Todd,5,N,N,IND,Independent,415,3.82
TAS,192,Bass,33906,Launceston BASS PPVC,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,480,4.42
TAS,192,Bass,33906,Launceston BASS PPVC,32399,COOPER,Carl,7,N,N,NP,The Nationals,143,1.32
TAS,192,Bass,33906,Launceston BASS PPVC,999,Informal,Informal,999,N,N,,Informal,393,1.24
TAS,192,Bass,8312,Launceston Central,32540,HALL,Tom,1,N,N,GRN,The Greens,289,-0.7
TAS,192,Bass,8312,Launceston Central,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,521,-2.85
TAS,192,Bass,8312,Launceston Central,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,64,3.99
TAS,192,Bass,8312,Launceston Central,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,604,-1.53
TAS,192,Bass,8312,Launceston Central,33590,LAMBERT,Todd,5,N,N,IND,Independent,46,2.87
TAS,192,Bass,8312,Launceston Central,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,63,3.93
TAS,192,Bass,8312,Launceston Central,32399,COOPER,Carl,7,N,N,NP,The Nationals,16,1
TAS,192,Bass,8312,Launceston Central,999,Informal,Informal,999,N,N,,Informal,74,1.99
TAS,192,Bass,8316,Lebrina,32540,HALL,Tom,1,N,N,GRN,The Greens,33,3.4
TAS,192,Bass,8316,Lebrina,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,41,-5.17
TAS,192,Bass,8316,Lebrina,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,4,1.91
TAS,192,Bass,8316,Lebrina,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,100,5.11
TAS,192,Bass,8316,Lebrina,33590,LAMBERT,Todd,5,N,N,IND,Independent,10,4.78
TAS,192,Bass,8316,Lebrina,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,14,6.7
TAS,192,Bass,8316,Lebrina,32399,COOPER,Carl,7,N,N,NP,The Nationals,7,3.35
TAS,192,Bass,8316,Lebrina,999,Informal,Informal,999,N,N,,Informal,13,1.76
TAS,192,Bass,8616,Legana,32540,HALL,Tom,1,N,N,GRN,The Greens,170,-1.43
TAS,192,Bass,8616,Legana,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,624,-1.56
TAS,192,Bass,8616,Legana,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,39,1.81
TAS,192,Bass,8616,Legana,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,1132,4.02
TAS,192,Bass,8616,Legana,33590,LAMBERT,Todd,5,N,N,IND,Independent,85,3.95
TAS,192,Bass,8616,Legana,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,80,3.72
TAS,192,Bass,8616,Legana,32399,COOPER,Carl,7,N,N,NP,The Nationals,22,1.02
TAS,192,Bass,8616,Legana,999,Informal,Informal,999,N,N,,Informal,80,-0.16
TAS,192,Bass,97469,Legana Central,32540,HALL,Tom,1,N,N,GRN,The Greens,26,0.68
TAS,192,Bass,97469,Legana Central,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,69,-3.69
TAS,192,Bass,97469,Legana Central,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,9,3.56
TAS,192,Bass,97469,Legana Central,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,117,-1.56
TAS,192,Bass,97469,Legana Central,33590,LAMBERT,Todd,5,N,N,IND,Independent,14,5.53
TAS,192,Bass,97469,Legana Central,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,15,5.93
TAS,192,Bass,97469,Legana Central,32399,COOPER,Carl,7,N,N,NP,The Nationals,3,1.19
TAS,192,Bass,97469,Legana Central,999,Informal,Informal,999,N,N,,Informal,8,-0.68
TAS,192,Bass,8319,Lilydale,32540,HALL,Tom,1,N,N,GRN,The Greens,81,-4.24
TAS,192,Bass,8319,Lilydale,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,229,-3.66
TAS,192,Bass,8319,Lilydale,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,14,2.19
TAS,192,Bass,8319,Lilydale,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,235,6.58
TAS,192,Bass,8319,Lilydale,33590,LAMBERT,Todd,5,N,N,IND,Independent,31,4.84
TAS,192,Bass,8319,Lilydale,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,43,6.72
TAS,192,Bass,8319,Lilydale,32399,COOPER,Carl,7,N,N,NP,The Nationals,7,1.09
TAS,192,Bass,8319,Lilydale,999,Informal,Informal,999,N,N,,Informal,35,0.88
TAS,192,Bass,8321,Mowbray,32540,HALL,Tom,1,N,N,GRN,The Greens,98,2.98
TAS,192,Bass,8321,Mowbray,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,333,-11.4
TAS,192,Bass,8321,Mowbray,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,19,2.45
TAS,192,Bass,8321,Mowbray,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,256,7.8
