year,representative_rank,district,state,representative_score,gerrymander_index,polsby_popper,reock,convex_hull_ratio,components,computed_area_sqkm,perimeter_km,num_ccds,population_actual,population_projected,population_total
2025,119,New England,NSW,33.5,66.5,0.1505,0.3098,0.7743,1,75314.547,2507.825,492,129663,128489,
2025,120,Forde,QLD,31.2,68.8,0.1849,0.3838,0.5978,1,418.258,168.616,376,,,
2025,121,Macnamara,VIC,30.7,69.3,0.2375,0.236,0.6238,1,38.426,45.095,404,113403,122946,
2025,122,Blair,QLD,30.5,69.5,0.1521,0.3162,0.7388,1,6482.35,731.919,406,,,
2025,123,Petrie,QLD,30.0,70.0,0.2227,0.3204,0.6169,1,152.237,92.684,395,,,
2025,124,Jagajaga,VIC,28.3,71.7,0.1662,0.3196,0.6899,1,137.145,101.842,396,118529,123151,
2025,125,Richmond,NSW,26.8,73.2,0.2345,0.3662,0.7256,9,2147.985,339.263,440,122977,129794,
2025,126,Ryan,QLD,26.2,73.8,0.1698,0.3377,0.5777,1,371.12,165.71,368,,,
2025,127,Eden-monaro,NSW,23.7,76.3,0.1762,0.3714,0.7657,95,31907.273,1508.299,467,118283,127154,
2025,128,Fairfax,QLD,23.4,76.6,0.2023,0.3713,0.6685,2,1005.785,249.96,340,,,
2025,129,Solomon,NT,22.6,77.4,0.1592,0.3934,0.6796,3,211.916,129.334,308,77293,85350,
2025,130,Hindmarsh,SA,22.4,77.6,0.1462,0.2587,0.7785,4,122.46,102.598,394,,,
2025,131,Brand,WA,21.2,78.8,0.2429,0.3335,0.6077,8,309.105,126.448,372,106524,118114,
2025,132,Shortland,NSW,20.6,79.4,0.2344,0.2359,0.6901,4,269.744,120.264,394,121152,126730,
2025,133,Paterson,NSW,17.6,82.4,0.1979,0.2343,0.7101,18,1034.4,256.305,410,123376,133220,
2025,134,Cunningham,NSW,15.7,84.2,0.1952,0.311,0.6051,6,537.884,186.091,452,130546,130375,
2025,135,Flinders,VIC,15.2,84.8,0.2347,0.229,0.6031,23,1001.18,231.507,381,124111,128659,
2025,136,Corangamite,VIC,14.5,85.5,0.1752,0.295,0.6332,5,639.511,214.177,314,107193,128351,
2025,137,Fremantle,WA,12.9,87.1,0.218,0.1182,0.3782,4,193.952,105.73,347,113289,124781,
2025,138,Gilmore,NSW,12.4,87.6,0.1401,0.2561,0.6835,18,6322.147,753.14,443,126793,132582,
2025,139,Franklin,TAS,10.7,89.3,0.0256,0.3422,0.6424,118,6383.364,1771.679,282,,,
2025,140,Durack,WA,10.2,89.8,0.0362,0.3379,0.6745,2097,1414472.182,22151.895,565,114949,118845,
2025,141,Bean,ACT,10.0,90.0,0.2335,0.0007,0.0215,32,1913.629,320.94,420,,,
2025,142,Monash,VIC,9.2,90.8,0.0955,0.3296,0.5569,29,8261.994,1042.445,360,113398,127031,
2025,143,Forrest,WA,8.4,91.6,0.165,0.229,0.6049,125,6465.484,701.647,380,111918,118304,
2025,144,Fenner,ACT,7.4,92.6,0.1408,0.0112,0.1122,4,238.092,145.753,439,,,
2025,145,Lyons,TAS,6.5,93.5,0.0637,0.3005,0.571,342,31934.462,2510.639,322,,,
2025,146,Mayo,SA,5.8,94.2,0.1116,0.1737,0.4933,30,9134.383,1014.358,421,,,
2025,147,Sydney,NSW,4.7,95.3,0.0842,0.0001,0.0062,13,52.587,88.576,502,129982,128333,
2025,148,Bass,TAS,3.3,96.7,0.0306,0.1383,0.239,101,7968.369,1807.874,301,,,
2025,149,Lingiari,NT,3.3,96.7,0.0956,0.0841,0.2801,306,1352065.268,13329.074,365,76104,81488,
2025,150,Braddon,TAS,2.7,97.3,0.0302,0.1401,0.4705,1361,21337.206,2978.692,321,,,
